ID_Venda;Data_Venda;Vendedor;CPF;Cidade;UF;Produto;Categoria;Canal_Venda;Qtd_Vendas;Valor_Vendas;Salario;Meta_Mensal;Percentual_Cumprimento;Cliente;Email_Cliente;Telefone;Data_Cadastro
1434;2023-09-04;Lorena Monteiro;948.170.536-66;Brasília;ba;Relógio;Brinquedos;APP;;26397.69;2159.79;R$ 60401.75;1.01;ARTHUR GABRIEL;leticiadias@example.net;1555798909;2022-11-08
VENDA-4942;2006-02-23;Caroline Nascimento;527.391.460-43;Recife;sp;Boneca;Brinquedos;loja;;10215.17;R$7033.4;51115.44;0.95;Calebe Santos;camila81@example.com;(051) 4548-3900;2024-09-01
VENDA-2924;1983-04-19;Luara Monteiro;417.965.238-28;Brasília;BA;Capacete;MÓVEIS;Telefone;23.0;R$40106.91;R$6779.41;64996.19;0.89;Enrico Sousa;joaquim66@example.org;0900-792-7064;2022-06-23
1958;18/10/2025;Alana Montenegro;819.250.673-86;Curitiba;MG;Relógio;Eletrônico;APP;9.0;R$25223.66;6731.45;37816.44;82.8%;Enzo da Conceição;rvargas@example.org;0300-854-4008;2024-06-20
vnd4954;2023-08-13;Dr. Lucca Marques;192.843.076-78;são paulo;MG;bicicleta;BELEZA;Online;;21639.6;R$3642.23;39220.69;110.0%;Sr. Gustavo Nascimento;scasa-grande@@example.com;0900-235-6530;
vnd4154;2020-10-28;Felipe Cavalcanti;70648239500;Brasília;PR;Capacete;AUTOMOTIVO;Loja;;R$20329.88;R$1843.19;;0.94;Ana Cecília Moraes;paparecida@example.com;9573364349;
1333;2005-02-01;Kaique Pinto;832.470.196-69;São Paulo;CE;Relógio;Beleza;Online;;35394.28;6824.88;77398.14;76.8%;Maria Luiza Vieira;helenarios@example.org;+55 81 9746 2089;2024-11-13
VENDA-7440;21/02/2025;Sr. André Ribeiro;180.657.234-62;Brasília;MG;Relógio;Esporte;WhatsApp;;R$10391.22;1507.46;50884.18;1.04;MIRELLA;maria-luisacostela@example.org;81 2579-7690;
VENDA-6740;21/08/2025;Ravi Lucca Fogaça;84653127026;Brasília;MG;Perfume;Automotivo;Telefone;41.0;39225.65;1540.6;R$ 69711.17;0.55;Ana Vitória Almeida;antonella41@example.com;+55 (041) 5458-2181;2022-11-19
8330;15/07/2025;Isabelly Vasconcelos;386.140.927-50;Fortaleza;DF;Notebook;Esporte;Loja;;R$43999.59;R$7368.39;65759.07;99.5%;Daniela Camargo;oliveiraana-laura@example.com;(011) 5828-3841;2021-02-07
VENDA-7265;2024-08-14;Sra. Maria Eduarda Vargas;20537894179;Salvador;BA;TV;ESPORTE;WhatsApp;;R$38538.14;R$2726.92;;72.7%;Alexandre Borges;maria85@example.net;+55 21 4129-8178;2020-06-08
vnd5577;1972-10-09;Luara Carvalho;617.540.923-06;Salvador;BA;TV;Eletrônico;APP;8.0;42762.12;2664.16;R$ 44993.88;65.1%;Kaique Abreu;ana-carolina74@example.net;(061) 8481 3647;2025-08-17
VENDA-7192;1983-12-06;Matheus Pastor;12064975802;Belo Horizonte;MG;BICICLETA;Brinquedos;APP;19.0;1281.5;R$2265.63;R$ 25544.1;0.73;EMANUEL;stella18@@example.com;(021) 4556 1263;2023-05-07
vnd8529;07/10/2025;Maria Luiza Casa Grande;183.964.752-37;Belo Horizonte;RJ;Camisa;Esporte;Telefone;40.0;R$35885.7;R$6692.11;R$ 49843.72;103.8%;Helena Peixoto;jose84@example.org;8368925250;2023-04-22
7771;2013-07-31;Antonella Gomes;30827419678;Curitiba;CE;Bicicleta;Móveis;WhatsApp;;R$47876.23;7833.14;;0.98;Yan Rezende;alice32@example.org;+55 (061) 8228-4467;2021-11-09
VENDA-5574;2007-04-11;Luiz Henrique Moreira;894.257.630-38;Curitiba;PR;Capacete;Beleza;telefone;46.0;12305.99;7345.58;21572.45;92.4%;Felipe Mendes;raquelaragao@example.org;0300 411 3965;2020-02-09
vnd2526;2021-01-19;Carlos Eduardo Cunha;608.327.451-62;Salvador;ba;Capacete;ROUPAS;Telef0ne;2.0;R$48239.22;7867.21;;107.6%;Isis Aparecida;andradematteo@example.com;+55 41 3816-9641;
vnd5096;27/07/2025;Lara da Rosa;12704389560;Rio de Janeiro;RJ;Notebook;Automotivo;Online;;R$15583.92;4012.61;41891.41;94.0%;Kevin Rezende;rodrigo29@example.org;+55 31 5083 6907;2025-06-06
6115;04/01/2025;Fernando Mendes;820.539.146-70;Rio de Janeiro;SP;Relógio;ESPORTE;TELEFONE;;14837.94;3564.89;;0.94;Brayan Camargo;camaramaria-fernanda@example.net;+55 (051) 6745-9318;
4332;26/02/2025;Yan da Mata;89546123773;Brasília;DF;Perfume;Móveis;Online;3.0;R$26958.99;5684.9;R$ 76231.74;1.0;Luana Vieira;ravi28@example.org;81 5620-5682;2022-06-26
5031;2008-05-02;Mathias Pacheco;642.791.350-61;São Paulo;MG;Capacete;Eletrônico ;Loja;35.0;R$28896.09;R$3864.63;46538.8;1.14;Ravi Campos;barbosaana-cecilia@example.org;+55 41 4605 0089;2025-08-03
VENDA-7834;1982-01-25;Yasmin Carvalho;714.596.023-07;Fortaleza;CE;Sofá;Móveis;LOJA;;31672.27;1642.73;51116.01;0.56;Sr. Mathias Silveira;heloisa92@example.net;+55 (071) 0293 2282;2023-02-24
4142;2014-01-09;Cauã da Rocha;54680329700;Recife;PE;Notebook;Brinquedos;Loja;46.0;6664.89;R$1833.17;;79.7%;Ana Vitória Pacheco;miguelfernandes@example.net;+55 (041) 5144-0596;2020-04-30
4800;2020-06-29;Sofia Moura;097.862.513-77;salvador;rj;Boneca;Eletrônico;Loja;;36298.76;R$7466.25;35755.36;1.2;Emanuella Macedo;nicolascardoso@example.com;61 0451 8143;2022-01-21
VENDA-3833;1994-07-13;Maria Flor Aparecida;783.129.546-19;Curitiba;DF;Relógio;MÓVEIS;Telefone;;17938.2;5713.02;;80.4%;Helena Caldeira;lavinia58@example.com;9878462228;2021-08-28
VENDA-9110;2024-06-08;;943.658.107-66;belo horizonte;DF;Capacete;Esporte;WHATSAPP;9.0;40270.96;2947.64;;98.1%;ASAFE;aparecidaana@example.com;+55 (061) 0142-0754;2023-11-14
VENDA-5557;2023-03-24;Beatriz Guerra;487.193.052-14;Rio de Janeiro;DF;Perfume;Automotivo;WhatsApp;2.0;R$33554.32;5010.31;;1.06;Isabelly Cavalcanti;camargojulia@example.com;(041) 4922 9220;2023-04-19
vnd6474;20/07/2025;;810.742.635-53;Brasília;SP;Perfume;esporte;Loja;;3794.62;3101.23;R$ 42900.9;96.8%;Gabrielly Carvalho;beatrizgomes@example.net;11 9538-7100;2022-09-21
vnd9862;2024-09-18;Fernanda Moraes;57038419250;Rio de Janeiro;ce;TV;MÓVEIS;Online;50.0;30652.02;R$5900.69;71883.31;57.8%;Dra. Antonella Câmara;mathiasrocha@example.com;+55 51 8634 6108;
3287;2024-04-22;;810.236.459-98;são paulo;SP;CAMISA;Automotivo;Online;;R$21379.15;6494.17;R$ 24926.04;0.58;Camila da Mota;waragao@example.net;+55 84 6481-5852;2023-02-20
VENDA-5277;2024-10-21;Sra. Heloisa Jesus;895.126.473-46;Rio de Janeiro;pe;Perfume ;Beleza;Telefone;;23743.83;R$2164.9;;95.8%;Dr. Nicolas Caldeira;ana-carolina40@example.net;+55 (021) 0714-1251;2022-07-22
vnd8673;2025-01-27;Alice Garcia;817.945.023-60;Brasília;SP;Boneca;Esporte;Loja;22.0;R$31935.76;R$6268.52;R$ 79774.09;0.61;IAN;silvaisabella@example.net;71 9377-9732;2021-10-25
